,x,y,z
897,-10,52,5
898,-9,50,3
899,-13,51,-2
900,-14,52,1
901,-19,51,11
902,-21,50,16
903,-24,45,23
904,-25,46,26
905,-25,63,32
906,-21,70,27
907,-16,82,17
908,-16,88,14
909,-12,74,12
910,-11,61,13
911,-13,52,12
912,-16,50,9
913,-25,59,4
914,-29,75,1
915,-28,78,-1
916,-21,68,-1
917,-19,65,0
918,-19,64,1
919,-19,64,-1
920,-19,60,-3
921,-19,59,-5
922,-17,60,-4
923,-15,62,0
924,-12,60,2
925,-10,58,1
926,-7,59,-1
927,-7,62,1
928,-8,73,7
929,-9,79,8
930,-11,83,12
931,-15,69,31
932,-16,64,43
933,-11,62,19
934,-19,64,14
935,-14,72,5
936,-11,72,10
937,-11,72,15
938,-5,69,13
939,-13,64,8
940,-17,58,6
941,-23,50,4
942,-23,49,3
943,-21,50,6
944,-20,49,7
945,-13,43,4
946,-13,42,4
947,-16,41,5
948,-22,47,6
949,-24,56,7
950,-30,72,9
951,-40,79,13
952,-43,95,11
953,-35,87,18
954,-27,63,18
955,-25,60,13
956,-26,60,14
957,-21,59,11
958,-19,67,6
959,-19,75,5
960,-21,77,8
961,-16,72,6
962,-16,65,1
963,-18,61,0
964,-15,58,5
965,-14,59,3
966,-13,61,2
967,-10,56,8
968,-10,54,11
969,-9,54,14
970,-7,51,14
971,-5,47,16
972,-4,51,16
973,-4,68,12
974,-6,80,10
975,-13,104,3
976,-18,111,0
977,-24,81,4
978,-26,65,7
979,-23,51,11
980,-19,56,10
981,-17,64,7
982,-16,72,3
983,-16,69,1
984,-17,57,3
985,-19,50,7
986,-17,54,13
987,-14,53,12
988,-12,50,11
989,-13,50,12
990,-15,51,14
991,-16,53,15
992,-17,51,16
993,-18,52,17
994,-20,64,18
995,-22,68,19
996,-28,76,18
997,-29,84,16
998,-21,77,10
999,-16,62,10
1000,-17,52,13
1001,-21,51,14
1002,-28,55,7
1003,-30,62,5
1004,-27,78,0
1005,-18,74,1
1006,-20,71,4
1007,-18,70,1
1008,-19,68,1
1009,-20,62,2
1010,-18,59,4
1011,-13,53,4
1012,-11,53,2
1013,-8,51,1
1014,-9,48,3
1015,-11,53,8
1016,-11,57,11
1017,-9,65,5
1018,-8,73,3
1019,-11,88,7
1020,-13,90,9
1021,-17,80,17
1022,-19,70,21
1023,-22,59,19
1024,-16,64,13
1025,-11,66,9
1026,-8,73,5
1027,-8,72,5
1028,-15,56,11
1029,-19,56,14
1030,-15,61,23
1031,-9,58,16
1032,-8,48,12
1033,-10,48,13
1034,-10,48,12
1035,-11,45,13
1036,-14,42,13
1037,-16,45,12
1038,-20,60,10
1039,-24,68,9
1040,-29,88,4
1041,-38,86,5
1042,-35,79,4
1043,-24,52,13
1044,-29,46,17
1045,-39,51,12
1046,-41,55,9
1047,-33,69,-3
1048,-26,76,-7
1049,-11,78,-11
1050,-11,66,-3
1051,-17,61,4
1052,-17,63,1
1053,-18,57,-3
1054,-17,55,-4
1055,-13,53,-2
1056,-12,52,-2
1057,-12,54,1
1058,-13,56,2
1059,-14,59,1
1060,-16,65,5
1061,-16,73,9
1062,-16,89,8
1063,-14,90,10
1064,-9,72,22
1065,-3,67,17
1066,-3,57,13
1067,-13,54,18
1068,-25,62,24
1069,-21,69,19
1070,-7,67,11
1071,-6,64,10
1072,-8,62,8
1073,-12,60,9
1074,-17,52,12
1075,-18,48,12
1076,-19,46,11
1077,-17,48,8
1078,-17,48,8
1079,-16,49,11
1080,-16,51,14
1081,-19,57,13
1082,-21,62,12
1083,-27,79,10
1084,-31,90,8
1085,-30,79,6
1086,-28,62,6
1087,-24,51,10
1088,-25,57,9
1089,-28,60,8
1090,-28,66,5
1091,-27,83,3
1092,-25,82,-1
1093,-12,79,-7
1094,1,58,3
1095,-10,54,6
1096,-15,52,-1
1097,-21,53,2
1098,-19,46,3
1099,-16,48,2
1100,-15,54,2
1101,-16,58,2
1102,-16,65,0
1103,-19,66,3
1104,-9,75,4
1105,-2,78,-1
1106,-1,82,3
1107,-3,81,10
1108,-14,65,22
1109,-19,51,39
1110,-16,47,37
1111,-15,64,24
1112,-19,77,14
1113,-13,68,11
1114,-11,62,11
1115,-13,59,8
1116,-16,58,7
1117,-21,52,3
1118,-22,51,3
1119,-21,49,2
1120,-21,48,2
1121,-22,45,4
1122,-23,45,5
1123,-29,49,10
1124,-31,55,12
1125,-36,71,11
1126,-40,73,13
1127,-39,78,18
1128,-37,84,17
1129,-30,69,14
1130,-26,59,11
1131,-21,56,7
1132,-16,66,1
1133,-14,73,-1
1134,-19,79,-1
1135,-17,77,0
1136,-15,63,1
1137,-14,58,2
1138,-13,52,4
1139,-13,51,5
1140,-14,51,4
1141,-13,51,3
1142,-11,52,5
1143,-10,53,5
1144,-10,56,5
1145,-10,55,4
1146,-12,59,5
1147,-14,65,7
1148,-17,79,8
1149,-19,87,6
1150,-22,95,8
1151,-25,65,12
1152,-25,60,15
1153,-18,55,12
1154,-14,57,11
1155,-7,68,11
1156,-5,72,10
1157,-11,64,10
1158,-16,59,12
1159,-18,57,15
1160,-17,56,16
1161,-14,55,16
1162,-12,54,16
1163,-10,53,14
1164,-10,51,11
1165,-13,48,9
1166,-14,50,9
1167,-16,52,9
1168,-21,58,9
1169,-28,60,11
1170,-40,65,5
1171,-39,71,2
1172,-42,80,6
1173,-37,58,7
1174,-40,49,12
1175,-35,62,9
1176,-30,84,3
1177,-25,89,-1
1178,-17,82,4
1179,-17,74,7
1180,-11,67,4
1181,-13,65,7
1182,-13,60,13
1183,-10,57,10
1184,-7,52,14
1185,-9,47,14
1186,-19,40,13
1187,-22,39,8
1188,-22,40,5
1189,-24,47,4
1190,-23,54,3
1191,-24,74,-2
1192,-24,84,-2
1193,-23,92,2
1194,-20,95,3
1195,-17,81,7
1196,-16,64,9
1197,-15,47,10
1198,-14,46,6
1199,-16,56,2
1200,-18,65,1
1201,-19,73,6
1202,-20,64,10
1203,-20,51,12
1204,-17,51,15
1205,-16,52,15
1206,-15,56,14
1207,-14,56,14
1208,-15,51,17
1209,-16,51,18
1210,-19,55,18
1211,-21,57,18
1212,-24,67,19
1213,-26,69,18
1214,-29,72,20
1215,-29,78,18
1216,-24,63,14
1217,-24,51,15
1218,-27,57,11
1219,-29,63,8
1220,-27,70,0
1221,-25,75,-4
1222,-21,68,-1
1223,-19,61,0
1224,-19,61,-2
1225,-17,57,0
1226,-17,57,-2
1227,-18,61,-5
1228,-19,61,-5
1229,-18,64,-4
1230,-17,65,-3
1231,-18,67,-1
1232,-17,65,6
1233,-17,67,6
1234,-13,71,4
1235,-9,81,15
1236,-4,81,24
1237,6,71,27
1238,12,60,30
1239,15,55,30
1240,7,64,28
1241,2,70,26
1242,-3,72,22
1243,-5,66,18
1244,-8,61,10
1245,-10,61,6
1246,-16,61,0
1247,-21,59,0
1248,-25,57,4
1249,-24,55,9
1250,-17,51,13
1251,-16,53,13
1252,-16,54,19
1253,-16,54,17
1254,-18,64,18
1255,-19,71,18
1256,-23,75,15
1257,-26,79,14
1258,-30,63,17
1259,-32,50,16
1260,-33,54,13
1261,-34,66,7
1262,-32,71,3
1263,-28,85,-3
1264,-25,82,-4
1265,-19,73,-2
1266,-18,72,-2
1267,-14,70,-1
1268,-14,68,-1
1269,-14,63,-1
1270,-14,60,0
1271,-13,58,2
1272,-12,61,1
1273,-13,68,5
1274,-13,66,10
1275,-13,72,19
1276,-8,78,17
1277,5,80,11
1278,8,65,27
1279,6,55,31
1280,5,49,22
1281,3,55,16
1282,-8,73,13
1283,-15,78,13
1284,-19,68,14
1285,-18,65,12
1286,-19,64,11
1287,-18,61,10
1288,-17,60,9
1289,-16,59,10
1290,-18,56,11
1291,-18,54,12
1292,-21,56,15
1293,-22,55,16
1294,-25,54,18
1295,-28,60,20
1296,-35,70,20
1297,-38,74,15
1298,-38,72,15
1299,-34,58,18
1300,-33,50,20
1301,-35,54,13
1302,-36,62,8
1303,-34,82,-2
1304,-32,93,-7
1305,-22,94,-7
1306,-19,89,-5
1307,-18,86,-5
1308,-16,83,-4
1309,-15,74,-3
1310,-15,68,-2
1311,-15,56,0
1312,-13,54,1
1313,-11,56,4
1314,-10,59,7
1315,-10,58,11
1316,-8,57,17
1317,-7,64,20
1318,-4,76,19
1319,-3,79,17
1320,-2,66,25
1321,-4,57,22
1322,-10,61,15
1323,-14,70,14
1324,-21,80,14
1325,-22,78,15
1326,-20,72,13
1327,-19,73,11
1328,-20,67,8
1329,-20,63,7
1330,-19,56,7
1331,-22,51,6
1332,-24,51,6
1333,-31,56,3
1334,-34,60,4
1335,-37,54,7
1336,-36,48,7
1337,-35,63,7
1338,-33,70,5
1339,-33,80,1
1340,-31,77,3
1341,-32,63,7
1342,-32,63,6
1343,-35,62,5
1344,-36,72,1
1345,-28,92,-13
1346,-22,93,-16
1347,2,82,-15
1348,6,71,-7
1349,-8,58,-3
1350,-16,56,-1
1351,-17,52,1
1352,-13,49,1
1353,-13,49,1
1354,-12,54,-2
1355,-12,58,-3
1356,-13,57,-2
1357,-15,53,-1
1358,-15,62,1
1359,-16,71,2
1360,-17,89,-1
1361,-19,93,2
1362,-24,74,19
1363,-25,61,36
1364,8,60,61
1365,-39,55,37
1366,-41,73,22
1367,-27,76,15
1368,-22,63,13
1369,-13,55,5
1370,-15,53,6
1371,-18,46,3
1372,-17,45,-1
1373,-15,44,-4
1374,-15,43,-1
1375,-18,45,2
1376,-23,48,3
1377,-41,54,22
1378,-47,54,31
1379,-46,58,32
1380,-55,66,30
1381,-45,76,27
1382,-36,79,27
1383,-30,66,21
1384,-22,55,18
1385,-7,70,5
1386,-8,71,10
1387,-25,70,13
1388,-25,77,10
1389,-24,70,11
1390,-20,53,11
1391,-17,50,11
1392,-15,47,14
1393,-15,45,14
1394,-13,46,11
1395,-12,46,11
1396,-10,45,10
1397,-10,47,10
1398,-9,55,8
1399,-10,61,5
1400,-11,72,2
1401,-13,76,0
1402,-18,85,-5
1403,-23,97,-7
1404,-35,106,-2
1405,-36,68,4
1406,-29,57,5
1407,-18,50,5
1408,-19,53,4
1409,-20,61,2
1410,-18,66,2
1411,-17,62,6
1412,-17,53,8
1413,-19,52,11
1414,-19,55,14
1415,-16,55,14
1416,-14,56,13
1417,-12,54,14
1418,-13,51,14
1419,-17,53,15
1420,-19,54,18
1421,-26,53,13
1422,-28,54,13
1423,-33,61,12
1424,-41,70,8
1425,-40,79,6
1426,-32,72,7
1427,-30,67,7
1428,-33,59,9
1429,-34,56,10
1430,-32,63,4
1431,-29,69,-1
1432,-16,77,-10
1433,-9,74,-6
1434,-22,67,4
1435,-21,66,4
1436,-26,68,4
1437,-19,63,-1
1438,-11,60,-4
1439,-8,56,-1
1440,-6,54,1
1441,-6,52,4
1442,-9,52,6
1443,-12,59,6
1444,-12,65,6
1445,-13,73,9
1446,-11,74,9
1447,-12,89,11
1448,-10,91,11
1449,-12,63,15
1450,-16,57,23
1451,-7,62,21
1452,-10,67,16
1453,-13,68,13
1454,-14,63,13
1455,-17,56,9
1456,-18,52,8
1457,-28,52,8
1458,-30,55,8
1459,-22,54,5
1460,-23,51,8
1461,-27,50,12
1462,-23,49,16
1463,-23,48,19
1464,-25,60,20
1465,-27,68,22
1466,-27,79,24
1467,-28,82,23
1468,-24,87,12
1469,-19,74,8
1470,-19,50,9
1471,-14,60,4
1472,-22,64,7
