x,y,z
-13,-42,19
-16,-43,17
-22,-49,19
-22,-49,21
-24,-44,23
-26,-44,25
-29,-46,30
-29,-48,32
-25,-52,33
-22,-54,34
-23,-73,36
-27,-97,40
-31,-101,37
-26,-90,32
-19,-69,27
-16,-62,30
-25,-52,26
-29,-47,20
-31,-40,13
-33,-43,13
-34,-46,13
-35,-51,16
-35,-51,16
-34,-48,16
-34,-45,17
-35,-39,15
-37,-37,16
-38,-38,19
-37,-40,20
-34,-46,24
-33,-48,27
-29,-51,31
-26,-50,32
-21,-54,30
-20,-66,31
-21,-67,43
-21,-59,46
-20,-58,47
-19,-61,39
-17,-55,35
-7,-45,30
-6,-44,26
-10,-44,23
-15,-46,23
-27,-49,22
-31,-48,23
-35,-47,28
-32,-45,30
-28,-43,32
-26,-44,33
-22,-46,34
-19,-48,37
-19,-51,45
-21,-52,47
-27,-52,42
-32,-62,38
-38,-81,40
-37,-84,39
-28,-69,26
-20,-56,19
-21,-56,23
-33,-52,24
-41,-51,19
-39,-44,12
-35,-42,11
-34,-43,11
-36,-45,11
-41,-50,10
-42,-54,9
-42,-55,9
-39,-55,9
-34,-54,10
-34,-54,11
-36,-56,13
-36,-58,15
-35,-58,16
-30,-62,23
-23,-62,25
-14,-67,26
-13,-67,31
-17,-58,34
-19,-54,35
-14,-50,40
-10,-55,43
-8,-57,39
-7,-54,39
-10,-53,34
-12,-51,28
-12,-51,24
-13,-50,20
-16,-49,16
-20,-49,16
-23,-48,17
-20,-47,24
-20,-48,27
-17,-51,35
-15,-53,40
-16,-57,44
-18,-58,44
-22,-65,43
-27,-85,50
-42,-88,40
-35,-67,25
-23,-59,18
-22,-57,23
-32,-53,23
-32,-49,18
-30,-43,12
-30,-42,13
-33,-44,13
-35,-47,11
-33,-49,11
-29,-51,14
-27,-52,15
-26,-55,17
-26,-55,18
-25,-55,18
-24,-57,18
-26,-62,22
-26,-63,23
-24,-65,25
-21,-66,24
-19,-71,26
-21,-65,29
-25,-56,43
-20,-55,48
