x,y,z
-24,60,19
-24,62,16
-24,69,15
-26,76,13
-26,77,12
-26,79,11
-27,72,12
-27,56,10
-26,49,8
-28,57,9
-27,65,9
-23,78,5
-19,79,3
-19,78,3
-21,73,1
-23,69,1
-24,64,2
-24,62,3
-21,56,4
-19,53,5
-19,50,6
-19,50,7
-18,55,6
-18,60,6
-18,66,6
-17,65,5
-14,73,0
-15,78,-1
-18,70,3
-22,61,9
-24,51,15
-21,48,13
-22,55,14
-20,67,15
-18,70,15
-19,73,17
-19,69,17
-22,63,13
-26,61,13
-25,58,14
-24,56,13
-26,60,16
-25,58,17
-26,56,21
-26,54,22
-27,56,20
-27,61,21
-25,63,19
-20,64,14
-20,69,12
-23,73,7
-22,72,5
-28,65,5
-29,57,4
-27,60,-1
-27,67,-2
-26,78,-2
-25,81,-2
-19,80,-3
-19,76,-4
-19,69,1
-20,67,1
-24,68,-3
-24,68,-2
-24,62,0
-21,53,5
-20,48,8
-22,47,13
-21,45,12
-21,51,11
-22,52,12
-23,55,12
-22,58,11
-19,68,7
-20,69,7
-20,73,11
-18,73,10
-21,64,11
-25,58,14
-27,54,11
-25,62,10
-21,73,9
-21,77,10
-20,75,13
-25,64,12
-26,60,11
-24,54,9
-24,53,10
-22,52,12
-23,53,13
-24,47,15
-25,46,15
-30,55,20
-31,60,21
-28,71,20
-24,73,17
-25,83,13
-28,81,11
-28,83,11
-27,75,10
-26,51,8
-26,47,5
-28,60,2
-27,78,3
-24,85,2
-13,82,-1
-11,78,-1
-13,72,-2
-15,69,-2
-18,64,-2
-18,62,-1
-14,57,1
-14,55,1
-14,51,5
-14,51,5
-14,56,5
-13,58,6
-15,60,8
-17,60,9
-14,69,7
-15,76,7
-17,75,8
-21,72,11
-24,70,17
-19,54,16
-19,51,12
-25,70,19
-22,73,18
-21,73,15
-23,72,15
-25,62,15
-23,57,13
-22,54,10
-23,55,14
-19,54,10
-20,55,10
-26,55,14
-26,54,15
-27,52,15
-28,55,14
-27,56,15
-22,61,11
-20,63,10
-24,78,9
-24,85,12
-24,81,13
-24,68,12
-25,59,8
-25,67,7
-17,83,6
-15,84,8
-9,71,6
-10,67,5
-16,65,8
-15,63,7
-12,56,6
-13,55,8
-15,56,7
-17,54,7
-17,53,8
-19,54,6
-20,57,5
-21,59,3
-22,60,2
-24,62,1
-23,70,-1
-24,86,0
-24,78,2
-24,68,6
-25,64,7
-27,60,9
-26,57,11
-21,62,11
-19,65,11
-20,64,13
-20,59,13
-21,58,13
-23,57,15
-22,55,15
-23,56,16
-24,56,16
-22,56,17
-21,56,17
-21,55,14
-22,55,13
-22,54,13
-22,52,13
-24,55,15
-23,57,15
-23,61,17
-23,63,17
-23,67,12
-25,80,10
-24,82,9
-22,81,9
-22,71,7
-23,53,6
-24,57,6
-25,70,6
-23,76,5
-16,80,3
-15,78,3
-17,72,3
-19,68,1
-20,60,2
-20,58,3
-20,53,4
-20,51,4
-20,50,6
-20,51,5
-19,54,5
-19,61,3
-18,64,2
-18,68,3
-15,77,-1
-17,89,-2
-19,80,0
-26,70,9
-26,60,16
-20,47,14
-17,51,12
-16,59,13
-16,62,14
-18,61,13
-18,60,12
-22,60,13
-23,57,12
-24,57,13
-24,60,15
-23,61,14
-23,61,13
-24,60,14
-24,57,14
-25,54,14
-25,58,15
-24,58,16
-22,63,17
-21,65,15
-22,78,9
-23,79,8
-25,77,8
-24,72,7
-22,61,5
-21,57,4
